 written on 15Jun2023 at 18:06:43 
   0.0000000000000000        2.7152650000000000        2.7152650000000000     
   2.7152650000000000        0.0000000000000000        2.7152650000000000     
   2.7152650000000000        2.7152650000000000        0.0000000000000000     
           4
         279
    3    2    2    3    2    3    6    2    2    2    1    2    2    1    1
    2    2    1    1    1    2    2    1    1    1    1    2    6    2    2
    2    2    2    6    2    2    3    1    1    1    3    2    1    1    1
    1    2    3    1    1    1    1    1    3    1    1    1    1    1    1
    2    1    1    1    1    1    2    2    1    1    1    1    2    3    2
    3    2    1    2    2    1    1    1    1    2    2    1    1    1    1
    1    2    1    1    1    1    1    1    2    1    1    1    1    1    2
    1    1    1    1    1    1    2    1    1    1    2    2    2    3    2
    1    1    2    3    1    1    1    1    1    3    1    1    1    1    1
    1    2    1    1    1    1    1    2    1    1    1    1    1    1    3
    1    1    1    1    1    3    2    1    1    2    3    2    2    2    1
    1    1    2    1    1    1    1    1    1    2    1    1    1    1    1
    2    1    1    1    1    1    1    2    1    1    1    1    1    2    2
    1    1    1    1    2    2    1    2    3    2    3    2    1    1    1
    1    2    2    1    1    1    1    1    2    1    1    1    1    1    1
    3    1    1    1    1    1    3    2    1    1    1    1    2    3    1
    1    1    3    2    2    6    2    2    2    2    2    6    2    1    1
    1    1    2    2    1    1    1    2    2    1    1    2    2    1    2
    2    2    6    3    2    3    2    2    3

   -4    0    2
    4    2   -0.72419791E-03 -0.39251533E-08 
    1    3   -0.46120926E-03  0.62398912E-08 
    2    3   -0.72420240E-03  0.63484847E-09 
    3    3    0.21207608E-02  0.14329446E-08 
    4    3   -0.72419445E-03 -0.67684414E-08 
    1    4   -0.46119725E-03  0.41940775E-08 
    2    4   -0.72420787E-03  0.82887350E-08 
    3    4   -0.72419768E-03 -0.70146570E-08 
    4    4    0.21207586E-02 -0.66034674E-09 

   -3    1    2
    1    1    0.24899878E-02  0.54117571E-08 
    2    1   -0.62539409E-03  0.43014965E-09 
    3    1   -0.43090842E-03 -0.62664931E-09 
    4    1   -0.14339915E-03 -0.41851672E-09 
    1    2   -0.12177770E-02 -0.11853144E-08 
    2    2   -0.16459994E-02  0.28505090E-08 
    3    2    0.26461273E-02 -0.48793845E-08 
    4    2   -0.72419636E-03 -0.76434810E-09 
    1    3    0.52754586E-03  0.21892949E-08 
    2    3    0.72612935E-03 -0.19703632E-10 
    3    3   -0.97631780E-03 -0.44417646E-08 
    4    3   -0.38736865E-03 -0.85685366E-09 
    1    4   -0.14219406E-02  0.14282950E-09 
    2    4    0.42917792E-03  0.22083010E-08 
    3    4   -0.49357446E-03 -0.21282418E-08 
    4    4    0.78162154E-03 -0.38201696E-08 

   -3    1    3
    1    1   -0.12594581E-02  0.38908486E-08 
    2    1    0.58080699E-03 -0.60336337E-08 
    3    1    0.27674578E-03  0.25842050E-08 
    4    1    0.42918504E-03 -0.38927072E-08 
    1    2    0.58080253E-03 -0.55156605E-08 
    2    2   -0.12594549E-02 -0.18213332E-08 
    3    2    0.27675500E-03  0.19177845E-08 
    4    2    0.42918871E-03  0.27985487E-08 
    1    3    0.42918544E-03  0.60278258E-10 
    2    3    0.42918582E-03  0.25238689E-08 
    3    3   -0.21421378E-03  0.48972672E-08 
    4    3    0.17141098E-03  0.50872622E-08 
    1    4    0.27674894E-03  0.55012765E-08 
    2    4    0.27674401E-03  0.87889942E-09 
    3    4   -0.50237241E-03 -0.51877845E-08 
    4    4   -0.21422015E-03 -0.69677540E-08 

   -3    2   -2
    1    1    0.33072351E-03  0.81808582E-08 
    2    1   -0.69383116E-04  0.54945360E-08 
    3    1   -0.18868388E-03  0.56714814E-08 
    4    1    0.58218712E-04  0.28179799E-08 
    1    2   -0.18866941E-03  0.53959459E-08 
    2    2    0.57169319E-03 -0.27865486E-08 
    3    2   -0.26010109E-03  0.34922902E-07 
    4    2   -0.18868986E-03  0.11342573E-08 
    1    3   -0.69378284E-04  0.91316208E-09 
    2    3   -0.50237032E-03 -0.23081503E-08 
    3    3    0.57169329E-03 -0.33925402E-08 
    4    3   -0.69379132E-04 -0.51147353E-09 
    1    4    0.58220538E-04 -0.86477836E-08 
    2    4   -0.69387491E-04 -0.39657060E-08 
    3    4   -0.18867007E-03 -0.41906904E-09 
    4    4    0.33072455E-03 -0.20003147E-08 

   -3    2   -1
    1    1   -0.97199816E-03 -0.70525126E-08 
    2    1   -0.13727156E-03 -0.27829933E-09 
    3    1    0.46710749E-03  0.34470627E-08 
    4    1    0.46710451E-03  0.75893830E-08 
    1    2   -0.95164826E-03 -0.61993488E-08 
    2    2    0.78961155E-03 -0.16969343E-08 
    3    2   -0.69384094E-04  0.70166240E-09 
    4    2   -0.69377863E-04  0.14497772E-08 
    1    3    0.12706109E-02 -0.39534429E-08 
    2    3   -0.49358586E-03  0.37695472E-08 
    3    3   -0.61860443E-03  0.12298718E-07 
    4    3    0.27673986E-03  0.27013622E-09 
    1    4    0.12706169E-02 -0.34809456E-08 
    2    4   -0.49357834E-03 -0.40292962E-08 
    3    4    0.27674910E-03  0.23245332E-08 
    4    4   -0.61860625E-03 -0.35492224E-08 

   -3    2    0
    1    1    0.24899846E-02  0.34489125E-08 
    2    1   -0.14339486E-03  0.85106365E-09 
    3    1   -0.62540073E-03 -0.46062559E-08 
    4    1   -0.43090490E-03  0.24901994E-08 
    1    2   -0.14219319E-02  0.57893463E-08 
    2    2    0.78161578E-03 -0.27461821E-08 
    3    2    0.42917983E-03  0.40036169E-08 
    4    2   -0.49358261E-03 -0.52181024E-08 
    1    3   -0.12177650E-02 -0.10238088E-07 
    2    3   -0.72420270E-03  0.89146487E-09 
    3    3   -0.16459912E-02 -0.26194723E-08 
    4    3    0.26461156E-02  0.87476322E-08 
    1    4    0.52755359E-03  0.69393124E-08 
    2    4   -0.38737274E-03 -0.60933763E-08 
    3    4    0.72612949E-03 -0.76696908E-09 
    4    4   -0.97631820E-03  0.19168459E-08 

   -3    2    1
    1    1    0.24899813E-02 -0.98199812E-09 
    2    1   -0.43090122E-03  0.21670375E-08 
    3    1   -0.62539606E-03 -0.16141850E-08 
    4    1   -0.14339384E-03  0.43269425E-08 
    1    2    0.52754148E-03  0.15139602E-08 
    2    2   -0.97631460E-03 -0.33044814E-09 
    3    2    0.72613179E-03 -0.11447589E-08 
    4    2   -0.38736519E-03 -0.63636795E-08 
    1    3   -0.12177594E-02 -0.41424037E-08 
    2    3    0.26461051E-02  0.56155198E-09 
    3    3   -0.16459980E-02 -0.43863885E-08 
    4    3   -0.72420692E-03  0.10399151E-08 
    1    4   -0.14219314E-02 -0.67608275E-08 
    2    4   -0.49358659E-03  0.41404477E-08 
    3    4    0.42918762E-03  0.61297059E-09 
    4    4    0.78162344E-03  0.56995286E-08 

   -3    2    2
    1    1   -0.97200881E-03 -0.30951951E-08 
    2    1    0.46711420E-03 -0.86549190E-09 
    3    1    0.46711513E-03  0.61408870E-08 
    4    1   -0.13726734E-03 -0.66844879E-08 
    1    2    0.12706182E-02 -0.12977447E-07 
    2    2   -0.61860056E-03  0.14468253E-08 
    3    2    0.27675336E-03  0.26061811E-08 
    4    2   -0.49357674E-03  0.40769942E-08 
    1    3    0.12706010E-02  0.41133191E-08 
    2    3    0.27674272E-03 -0.12094551E-08 
    3    3   -0.61860056E-03 -0.12305931E-08 
    4    3   -0.49358583E-03  0.39938431E-08 
    1    4   -0.95164262E-03  0.78983797E-08 
    2    4   -0.69388301E-04  0.50384375E-09 
    3    4   -0.69390073E-04 -0.61128116E-08 
    4    4    0.78961268E-03  0.28793866E-08 

   -3    2    3
    1    1    0.33072979E-03  0.16973308E-08 
    2    1    0.58225171E-04  0.56096025E-08 
    3    1   -0.18868455E-03 -0.29580040E-08 
    4    1   -0.69379025E-04 -0.13039296E-08 
    1    2    0.58225772E-04 -0.36730751E-08 
    2    2    0.33072234E-03 -0.22675974E-08 
    3    2   -0.18867192E-03  0.20803347E-08 
    4    2   -0.69386659E-04  0.93491675E-08 
    1    3   -0.69386995E-04 -0.80711897E-08 
    2    3   -0.69384234E-04  0.90417582E-08 
    3    3    0.57169226E-03  0.83649277E-09 
    4    3   -0.50237182E-03 -0.17980971E-08 
    1    4   -0.18867964E-03 -0.31458663E-08 
    2    4   -0.18866514E-03  0.13124053E-08 
    3    4   -0.26010661E-03  0.22344682E-07 
    4    4    0.57168897E-03 -0.26495977E-09 

   -3    3   -3
    1    1    0.78243172E-03  0.31752714E-15 
    2    1   -0.26010162E-03 -0.32972625E-07 
    3    1   -0.26011022E-03  0.16894405E-07 
    4    1   -0.26010949E-03 -0.93977635E-08 
    1    2   -0.26010162E-03  0.32972626E-07 
    2    2    0.78243912E-03  0.40939333E-15 
    3    2   -0.26010146E-03  0.42455219E-07 
    4    2   -0.26010522E-03  0.15918979E-07 
    1    3   -0.26011024E-03 -0.16894404E-07 
    2    3   -0.26010148E-03 -0.42455219E-07 
    3    3    0.78244023E-03 -0.91851512E-15 
    4    3   -0.26010762E-03 -0.29503795E-07 
    1    4   -0.26010954E-03  0.93977622E-08 
    2    4   -0.26010527E-03 -0.15918979E-07 
    3    4   -0.26010759E-03  0.29503794E-07 
    4    4    0.78243723E-03  0.79355072E-15 

   -3    3   -2
    1    1    0.33072643E-03 -0.63593245E-09 
    2    1   -0.69377717E-04 -0.28926692E-08 
    3    1    0.58227863E-04  0.32723342E-08 
    4    1   -0.18868006E-03  0.12890828E-08 
    1    2   -0.18867688E-03  0.10615489E-08 
    2    2    0.57169327E-03 -0.21085554E-08 
    3    2   -0.18866823E-03  0.38444255E-08 
    4    2   -0.26011144E-03  0.45790835E-08 
    1    3    0.58221758E-04  0.54664312E-08 
    2    3   -0.69372369E-04  0.44996585E-09 
    3    3    0.33072353E-03  0.30062948E-08 
    4    3   -0.18868716E-03  0.25220306E-08 
    1    4   -0.69387542E-04 -0.34650924E-08 
    2    4   -0.50237601E-03 -0.71498399E-08 
    3    4   -0.69381477E-04  0.26492885E-08 
    4    4    0.57169012E-03 -0.26182235E-09 

   -3    3   -1
